timestamp,suite,run_name,replicate,seed,config_file,modules,data_profile,input_root,output_dir,log_file,status,error_message
2025-11-24T12:25:23,uncertainty,ua_random_005,4,42003,workspace/uncertainty/config/generated/ua_random_005.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_005/rep_004,scratch/uncertainty/ua_random_005/rep_004.log,success,
2025-11-24T13:05:00,uncertainty,ua_random_006,1,42000,workspace/uncertainty/config/generated/ua_random_006.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_006/rep_001,scratch/uncertainty/ua_random_006/rep_001.log,success,
2025-11-24T13:37:35,uncertainty,ua_random_006,2,42001,workspace/uncertainty/config/generated/ua_random_006.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_006/rep_002,scratch/uncertainty/ua_random_006/rep_002.log,success,
2025-11-24T14:09:12,uncertainty,ua_random_006,3,42002,workspace/uncertainty/config/generated/ua_random_006.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_006/rep_003,scratch/uncertainty/ua_random_006/rep_003.log,success,
2025-11-24T14:41:26,uncertainty,ua_random_006,4,42003,workspace/uncertainty/config/generated/ua_random_006.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_006/rep_004,scratch/uncertainty/ua_random_006/rep_004.log,success,
2025-11-24T15:31:11,uncertainty,ua_random_007,1,42000,workspace/uncertainty/config/generated/ua_random_007.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_007/rep_001,scratch/uncertainty/ua_random_007/rep_001.log,success,
2025-11-24T16:12:49,uncertainty,ua_random_007,2,42001,workspace/uncertainty/config/generated/ua_random_007.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_007/rep_002,scratch/uncertainty/ua_random_007/rep_002.log,success,
2025-11-24T16:52:12,uncertainty,ua_random_007,3,42002,workspace/uncertainty/config/generated/ua_random_007.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_007/rep_003,scratch/uncertainty/ua_random_007/rep_003.log,success,
2025-11-24T17:29:26,uncertainty,ua_random_007,4,42003,workspace/uncertainty/config/generated/ua_random_007.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_007/rep_004,scratch/uncertainty/ua_random_007/rep_004.log,success,
2025-11-24T18:08:28,uncertainty,ua_random_008,1,42000,workspace/uncertainty/config/generated/ua_random_008.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_008/rep_001,scratch/uncertainty/ua_random_008/rep_001.log,success,
2025-11-24T18:44:28,uncertainty,ua_random_008,2,42001,workspace/uncertainty/config/generated/ua_random_008.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_008/rep_002,scratch/uncertainty/ua_random_008/rep_002.log,success,
2025-11-24T19:17:47,uncertainty,ua_random_008,3,42002,workspace/uncertainty/config/generated/ua_random_008.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_008/rep_003,scratch/uncertainty/ua_random_008/rep_003.log,success,
2025-11-24T19:50:31,uncertainty,ua_random_008,4,42003,workspace/uncertainty/config/generated/ua_random_008.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_008/rep_004,scratch/uncertainty/ua_random_008/rep_004.log,success,
2025-11-26T21:48:50,uncertainty,ua_base,1,42000,workspace/uncertainty/config/ua_base.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_base/rep_001,scratch/uncertainty/ua_base/rep_001.log,success,
2025-11-26T21:50:58,uncertainty,ua_random_001,1,42000,workspace/uncertainty/config/generated/ua_random_001.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_random_001/rep_001,scratch/uncertainty/ua_random_001/rep_001.log,success,
2025-11-26T22:33:15,uncertainty,ua_base,2,42001,workspace/uncertainty/config/ua_base.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_base/rep_002,scratch/uncertainty/ua_base/rep_002.log,success,
2025-11-26T22:40:11,uncertainty,ua_random_001,2,42001,workspace/uncertainty/config/generated/ua_random_001.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_random_001/rep_002,scratch/uncertainty/ua_random_001/rep_002.log,success,
2025-11-26T23:07:53,uncertainty,ua_base,3,42002,workspace/uncertainty/config/ua_base.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_base/rep_003,scratch/uncertainty/ua_base/rep_003.log,success,
2025-11-26T23:26:09,uncertainty,ua_random_001,3,42002,workspace/uncertainty/config/generated/ua_random_001.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_random_001/rep_003,scratch/uncertainty/ua_random_001/rep_003.log,success,
2025-11-26T23:50:19,uncertainty,ua_base,4,42003,workspace/uncertainty/config/ua_base.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_base/rep_004,scratch/uncertainty/ua_base/rep_004.log,success,
2025-11-27T00:10:58,uncertainty,ua_random_001,4,42003,workspace/uncertainty/config/generated/ua_random_001.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_random_001/rep_004,scratch/uncertainty/ua_random_001/rep_004.log,success,
2025-11-27T00:23:08,uncertainty,ua_base,5,42004,workspace/uncertainty/config/ua_base.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_base/rep_005,scratch/uncertainty/ua_base/rep_005.log,success,
2025-11-27T00:53:10,uncertainty,ua_random_002,1,42000,workspace/uncertainty/config/generated/ua_random_002.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_random_002/rep_001,scratch/uncertainty/ua_random_002/rep_001.log,success,
2025-11-27T00:57:32,uncertainty,ua_base,6,42005,workspace/uncertainty/config/ua_base.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_base/rep_006,scratch/uncertainty/ua_base/rep_006.log,success,
2025-11-27T01:29:27,uncertainty,ua_random_002,2,42001,workspace/uncertainty/config/generated/ua_random_002.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_random_002/rep_002,scratch/uncertainty/ua_random_002/rep_002.log,success,
2025-11-27T01:29:31,uncertainty,ua_base,7,42006,workspace/uncertainty/config/ua_base.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_base/rep_007,scratch/uncertainty/ua_base/rep_007.log,success,
2025-11-27T02:02:55,uncertainty,ua_base,8,42007,workspace/uncertainty/config/ua_base.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_base/rep_008,scratch/uncertainty/ua_base/rep_008.log,success,
2025-11-27T02:03:45,uncertainty,ua_random_002,3,42002,workspace/uncertainty/config/generated/ua_random_002.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_random_002/rep_003,scratch/uncertainty/ua_random_002/rep_003.log,success,
2025-11-27T02:37:29,uncertainty,ua_base,9,42008,workspace/uncertainty/config/ua_base.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_base/rep_009,scratch/uncertainty/ua_base/rep_009.log,success,
2025-11-27T02:39:05,uncertainty,ua_random_002,4,42003,workspace/uncertainty/config/generated/ua_random_002.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",raw,data/raw,outputs/uncertainty/ua_random_002/rep_004,scratch/uncertainty/ua_random_002/rep_004.log,success,
