interval,replicate,class_mode,analysis_mode,overall_agreement,quantity_disagreement,allocation_disagreement,total_disagreement,change_mask_overall_agreement,change_mask_quantity_disagreement,change_mask_allocation_disagreement,change_mask_total_disagreement,binary_f1,binary_iou,binary_precision,binary_recall,prevalence_ref,prevalence_sim,grid_rmse_1km,grid_rmse_5km,grid_rmse_10km,grid_bias_1km,grid_bias_5km,grid_bias_10km,grid_spearman_1km,grid_spearman_5km,grid_spearman_10km,linear_median_distance_m,linear_p90_distance_m
2010_2015,6,crosswalk,VERIFICATION_CARIBOU,0.949319069304896,0.0157906096453524,0.0348903210497521,0.0506809306951045,0.0343245462069259,0.300874587853967,0.664800865939108,0.965675453793074,0.169654058421346,0.0926896137869002,0.195267524462313,0.149980892096864,0.0324345987279196,0.0249123353481959,0.170171029555508,0.0942260318314096,0.0723092746677448,-0.00747781113309062,-0.00725264443934681,-0.00672874608011519,0.374369301356612,0.474521500265014,0.526869130232244,4492.21533203125,28155.462890625
2010_2015,6,native,VERIFICATION_CARIBOU,0.949249045473574,0.0164117634519909,0.0343391910744353,0.0507509545264262,0.0329903107428076,0.312710064745847,0.654299624511346,0.967009689257192,0.169654058421346,0.0926896137869002,0.195267524462313,0.149980892096864,0.0324345987279196,0.0249123353481959,0.170171029555508,0.0942260318314096,0.0723092746677448,-0.00747781113309062,-0.00725264443934681,-0.00672874608011519,0.374369301356612,0.474521500265014,0.526869130232244,4492.21533203125,28155.462890625
2010_2015,7,crosswalk,VERIFICATION_CARIBOU,0.9493127320696,0.0157613152078162,0.0349259527225836,0.0506872679303998,0.0344331261452711,0.300245100484547,0.665321773370182,0.965566873854729,0.169621089962144,0.0926699324560266,0.195173816568047,0.149984659852412,0.0324345987279196,0.0249249225290443,0.170199531779295,0.0942284748122032,0.0723674934971612,-0.00746547833624263,-0.00724276449020932,-0.00672543021968399,0.373892886283358,0.475132493716207,0.527783708117281,4494.44091796875,28160.2578125
2010_2015,7,native,VERIFICATION_CARIBOU,0.949242708238278,0.0163808628831952,0.0343764288785264,0.0507572917617216,0.0330992074973478,0.312047171034909,0.654853621467743,0.966900792502652,0.169621089962144,0.0926699324560266,0.195173816568047,0.149984659852412,0.0324345987279196,0.0249249225290443,0.170199531779295,0.0942284748122032,0.0723674934971612,-0.00746547833624263,-0.00724276449020932,-0.00672543021968399,0.373892886283358,0.475132493716207,0.527783708117281,4494.44091796875,28160.2578125
2010_2015,8,crosswalk,VERIFICATION_CARIBOU,0.948882271434123,0.0153554528217361,0.0357622757441411,0.0511177285658772,0.0339835469828162,0.290185430485425,0.675831022531759,0.966016453017184,0.168532441644557,0.0920204351290227,0.192079217466518,0.150128372814029,0.0324345987279196,0.0253507568081765,0.171141027765867,0.0957699226148941,0.0754947708755412,-0.00697690537547365,-0.00656888306914376,-0.00579017829141713,0.369687640083028,0.464720062536721,0.512969425782802,4500,28160.2578125
2010_2015,8,native,VERIFICATION_CARIBOU,0.948812352350492,0.0159747560858365,0.0352128915636717,0.0511876476495081,0.0326622248688988,0.301888946257986,0.665448828873115,0.967337775131101,0.168532441644557,0.0920204351290227,0.192079217466518,0.150128372814029,0.0324345987279196,0.0253507568081765,0.171141027765867,0.0957699226148941,0.0754947708755412,-0.00697690537547365,-0.00656888306914376,-0.00579017829141713,0.369687640083028,0.464720062536721,0.512969425782802,4500,28160.2578125
2010_2015,9,crosswalk,VERIFICATION_CARIBOU,0.9492761751255,0.0157577363283794,0.034966088546121,0.0507238248745004,0.0342294273755644,0.300023865999394,0.665746706625042,0.965770572624436,0.169372075242538,0.0925212999058656,0.194792507178393,0.149820493360676,0.0324345987279196,0.0249463783477166,0.170272188076423,0.0942586810727897,0.0723579987091357,-0.00744415203104094,-0.00722191718407898,-0.00670513147230731,0.374023286921151,0.473838485667014,0.525783706508788,4494.44091796875,28144.802734375
2010_2015,9,native,VERIFICATION_CARIBOU,0.94920623858392,0.0163789075929663,0.0344148538231135,0.0507937614160798,0.0328978508634306,0.31185083152067,0.6552513176159,0.967102149136569,0.169372075242538,0.0925212999058656,0.194792507178393,0.149820493360676,0.0324345987279196,0.0249463783477166,0.170272188076423,0.0942586810727897,0.0723579987091357,-0.00744415203104094,-0.00722191718407898,-0.00670513147230731,0.374023286921151,0.473838485667014,0.525783706508788,4494.44091796875,28144.802734375
2010_2015,10,crosswalk,VERIFICATION_CARIBOU,0.949305347357397,0.0157798380911451,0.0349148145514584,0.0506946526426035,0.0342702905122651,0.300604850041289,0.665124859446446,0.965729709487735,0.169520467679615,0.0926098678987822,0.195077816759326,0.1498840069542,0.0324345987279196,0.0249204532942354,0.170179965636117,0.0942087395435434,0.0723024911430311,-0.00746985699432562,-0.0072434844271632,-0.00672338923103194,0.373813085515875,0.474055923812961,0.526563349110232,4492.21533203125,28051.55859375
2010_2015,10,native,VERIFICATION_CARIBOU,0.949235323526075,0.0164011141034229,0.0343635623705024,0.0507646764739253,0.0329363412542183,0.312440116121098,0.654623542624684,0.967063658745782,0.169520467679615,0.0926098678987822,0.195077816759326,0.1498840069542,0.0324345987279196,0.0249204532942354,0.170179965636117,0.0942087395435434,0.0723024911430311,-0.00746985699432562,-0.0072434844271632,-0.00672338923103194,0.373813085515875,0.474055923812961,0.526563349110232,4492.21533203125,28051.55859375
